lu,freq,n_sense,LeeNamingAcc,LeeNamingRT
零,198,7,0.95,709
富,197,6,0.9,661
略,192,9,0.9,708
豬,192,5,0.95,745
油,190,10,0.95,666
躺,190,4,0.85,721
確,187,2,0.8,682
終,187,4,0.95,685
完,187,5,1.0,620
雞,187,5,0.85,722
謂,187,10,1.0,669
綠,184,8,0.85,685
坪,184,2,0.95,723
流,183,11,0.95,568
造,181,12,0.95,694
架,181,6,0.95,659
圓,180,6,1.0,638
頂,179,10,0.9,632
楊,179,3,0.8,731
躲,179,3,0.85,676
盤,177,14,0.85,601
迄,177,1,0.85,879
禮,174,8,0.95,651
廟,174,4,0.75,682
佛,173,8,0.9,719
毒,172,10,0.9,654
槍,172,8,0.8,647
暨,171,1,0.75,921
純,170,5,0.9,701
租,169,4,0.95,710
宜,168,3,0.95,655
犯,168,9,0.85,691
副,168,6,0.95,704
趙,167,5,0.85,694
燒,167,14,0.9,730
趟,167,3,1.0,723
網,166,13,0.85,630
領,165,10,0.85,649
練,164,6,0.8,622
擬,163,0,0.8,717
筆,163,9,0.9,695
吵,162,4,0.95,683
湖,161,4,0.85,661
艘,160,1,0.6,838
煙,159,3,0.85,732
煮,157,4,0.9,669
江,157,6,0.9,655
藍,155,6,0.85,605
趁,155,1,0.9,657
勸,154,1,0.9,750
頓,154,4,0.85,695
逼,153,5,0.9,701
貼,152,13,0.9,632
寄,151,4,0.95,695
演,151,7,0.9,615
防,150,6,0.9,650
擠,149,6,0.75,709
咬,148,12,0.9,646
順,148,10,1.0,771
英,147,8,0.85,623
貓,147,6,1.0,646
始,147,3,0.8,700
嫌,146,5,0.85,796
清,145,38,0.8,646
記,144,12,0.9,703
摸,144,15,0.95,714
細,143,22,0.8,748
燈,142,6,1.0,695
響,141,7,0.9,725
鬧,140,7,0.85,655
爬,140,11,0.9,639
限,139,0,0.95,690
趕,138,13,0.85,659
挺,138,5,0.95,696
雲,137,7,0.95,727
駐,137,0,1.0,740
幢,137,4,0.35,865
劍,136,3,0.95,701
歸,136,11,1.0,661
編,136,12,0.95,673
猜,136,2,0.85,636
瓶,136,4,0.8,707
賞,135,7,0.8,722
搭,135,18,1.0,664
騙,132,2,0.85,603
跨,132,10,0.9,747
偏,132,12,0.95,594
吸,131,12,0.85,680
拖,131,15,0.95,652
瞧,131,0,0.8,766
餓,131,5,0.9,724
增,130,3,0.8,729
遊,129,8,1.0,634
捕,129,4,0.85,728
投,127,30,0.95,617
現,127,7,0.95,694
退,126,11,1.0,617
題,126,6,0.9,648
棒,124,7,0.8,676
猛,124,7,1.0,628
胸,124,4,1.0,651
狼,120,5,0.9,663
胖,120,5,1.0,622
抗,119,7,0.95,712
遲,118,6,1.0,664
購,118,1,0.9,685
減,117,7,1.0,734
測,116,3,0.9,667
吋,116,2,1.0,761
星,116,11,0.8,745
壓,113,22,0.9,711
值,112,5,0.75,733
炒,111,6,0.9,760
逢,111,3,0.85,659
郭,110,3,0.85,658
猶,110,4,0.95,676
偷,110,4,0.9,621
娶,109,1,0.8,724
恨,108,1,0.9,666
繳,108,3,0.75,802
暗,108,16,0.75,663
返,108,2,0.9,704
餘,105,7,0.85,643
烤,105,6,0.95,606
遇,104,3,0.85,678
傷,104,14,0.95,684
環,104,14,0.9,783
復,104,5,0.9,692
圍,104,6,0.9,694
穩,103,9,0.95,616
招,103,17,0.9,690
福,103,3,0.9,643
鴨,103,3,0.9,682
補,103,17,0.75,679
瘦,102,14,0.85,688
碼,102,9,0.85,728
抵,101,8,0.85,704
矮,101,7,0.8,702
幕,101,5,0.9,639
衝,100,11,1.0,663
逾,99,4,0.75,726
掉,98,15,0.75,685
捐,98,2,1.0,685
趨,98,1,0.75,806
費,97,3,0.9,724
粗,96,21,0.9,693
繞,96,7,0.9,714
禪,96,6,0.9,773
埋,95,8,0.95,702
韓,95,5,0.85,705
循,94,2,0.95,754
徐,93,3,0.9,756
爛,93,8,1.0,740
濃,93,10,0.85,615
糖,92,2,0.9,673
搖,92,8,0.85,697
牌,91,14,0.75,720
泡,91,12,0.85,632
笨,90,8,0.8,619
逃,90,3,0.9,663
異,90,6,0.85,648
伴,90,5,0.9,641
噴,90,5,1.0,742
跌,90,8,0.85,683
甜,89,12,0.9,617
聚,89,3,1.0,671
握,87,3,0.95,652
鐘,87,6,0.95,659
畔,87,2,0.95,766
畝,87,8,0.7,765
淡,86,10,0.9,648
懷,86,9,0.95,671
獨,86,5,0.9,731
糟,85,8,0.9,679
脫,85,11,0.9,656
疼,85,4,1.0,640
粒,85,4,0.95,626
飄,84,11,0.95,653
殼,84,4,0.85,699
配,84,16,0.85,577
淺,83,13,0.95,676
避,83,4,0.75,645
稅,83,2,0.95,835
歐,82,4,0.85,655
踢,82,7,0.95,602
形,82,10,0.95,728
鎮,81,9,0.8,671
齣,81,1,0.2,1009
肝,81,2,0.9,728
距,80,4,0.85,789
餅,80,5,0.85,687
鋼,80,2,0.95,651
壯,80,9,1.0,765
摔,79,12,0.95,724
慘,78,3,0.95,645
功,78,9,1.0,611
盼,78,1,0.9,697
輸,77,5,0.95,745
攻,77,9,1.0,664
移,77,10,1.0,664
添,77,9,0.85,569
妙,76,6,0.75,651
緣,76,8,1.0,620
忽,76,2,1.0,646
搬,75,5,0.95,661
運,75,9,0.9,645
滴,75,8,0.8,669
捧,75,10,0.85,762
醒,74,12,0.95,739
附,74,4,0.9,648
瞪,74,3,0.9,670
錶,72,2,0.9,643
程,72,3,0.95,638
琴,72,7,0.95,693
謝,72,5,1.0,669
沙,72,4,0.9,704
踩,71,5,1.0,724
株,70,2,0.9,766
梅,69,5,0.9,629
迎,69,1,1.0,612
呵,69,8,0.85,668
帳,69,7,0.85,699
撥,68,12,0.85,717
闢,68,4,0.95,685
蔡,68,1,0.95,693
巧,67,5,0.95,697
毀,67,4,0.9,602
蔣,67,4,0.95,767
嫁,67,2,0.95,665
淚,66,3,0.95,623
巢,65,3,0.75,720
忍,65,2,0.9,629
雄,65,10,1.0,696
綁,63,8,0.9,734
酸,63,14,0.95,736
填,63,7,0.9,733
箭,62,6,0.9,741
銅,62,8,1.0,678
挨,62,6,0.9,726
拔,62,5,0.95,592
鬆,62,15,0.95,696
尊,61,8,0.9,648
鮑,60,2,0.9,856
嘆,60,3,0.9,647
透,60,11,0.9,618
野,59,8,0.8,607
喂,59,2,0.8,843
霧,59,4,0.8,654
靈,59,9,0.95,648
抹,59,7,0.9,676
沾,59,6,0.95,745
痣,59,1,0.95,750
塔,58,3,0.8,717
涼,58,16,0.9,628
擋,58,4,0.9,750
拒,58,3,0.95,685
滑,57,6,1.0,636
操,57,11,0.85,758
格,57,23,0.95,644
軸,57,5,0.85,780
烈,57,8,0.9,597
寒,57,9,0.9,642
弦,56,11,0.3,720
怨,56,2,0.9,625
敲,56,5,0.9,678
桶,56,3,0.9,670
剪,56,6,0.95,657
賠,56,5,0.95,607
險,55,7,0.9,769
伸,55,2,0.9,702
葉,55,8,1.0,681
撞,55,4,0.95,640
輪,54,10,0.9,614
盯,54,2,0.85,662
窄,54,4,0.85,701
料,54,13,0.9,663
鍵,53,2,0.85,707
肥,53,20,0.85,725
容,53,9,0.95,614
途,53,4,1.0,646
撿,53,2,1.0,740
揮,53,4,0.9,619
護,52,4,0.75,647
屢,52,0,0.8,810
蚊,52,1,0.85,659
暫,52,2,0.9,700
徒,51,4,0.85,805
辣,51,7,0.8,656
笙,51,1,0.9,764
飽,51,13,0.85,677
消,50,15,0.95,728
端,50,12,0.9,673
喘,50,5,0.8,693
俟,50,1,0.1,795
浪,50,5,0.95,573
攝,50,7,0.6,887
噢,50,0,0.6,865
柄,50,6,0.95,762
鞋,49,2,0.95,763
精,49,15,0.95,671
誤,49,5,0.85,683
稿,49,2,0.75,715
醜,49,5,0.85,638
墓,49,2,0.9,681
柴,49,10,0.9,714
鎖,48,12,0.85,729
聘,48,1,0.9,707
碎,48,6,0.85,746
閉,48,10,0.95,703
扶,48,7,0.9,665
撲,48,15,0.9,686
惹,48,3,0.95,661
簽,47,0,0.85,658
謀,47,4,0.85,646
割,47,6,0.95,682
旗,47,5,1.0,716
積,47,2,0.8,737
忠,47,2,0.95,687
煤,47,1,1.0,636
咦,46,2,0.85,720
爹,46,2,0.9,725
催,46,4,0.95,699
鏡,46,5,0.9,718
仗,46,3,0.85,659
蹲,46,9,0.85,683
麵,46,5,0.85,652
駕,46,3,0.95,709
鷹,46,3,0.85,703
彎,46,8,0.9,636
奶,45,12,0.9,572
閏,45,4,0.3,953
闖,45,9,0.9,689
箱,45,4,0.95,735
磚,45,2,0.9,719
核,45,6,0.9,727
疊,45,13,0.8,692
億,45,1,0.9,684
銀,45,7,0.95,674
盞,45,3,0.8,839
謎,45,2,0.9,622
睜,44,1,0.95,746
預,44,3,0.9,664
扛,44,2,0.9,663
仙,44,5,0.95,780
渡,43,6,0.95,648
陽,43,9,0.9,647
彼,43,2,0.85,774
密,43,8,0.95,609
截,42,11,0.75,810
賭,42,2,0.9,677
籤,42,4,0.95,715
堵,42,0,0.85,758
厝,42,1,0.15,1028
灑,42,6,0.75,832
檔,41,11,0.8,662
擅,41,2,0.85,789
辭,41,9,0.95,787
湊,41,4,0.9,780
趴,41,7,0.95,664
啥,40,5,0.85,710
鄧,40,2,0.9,710
拼,40,5,0.9,667
臻,40,0,0.65,831
府,40,9,0.9,677
序,39,0,1.0,749
黏,39,11,0.9,678
披,39,5,0.95,742
愁,39,2,0.95,753
跪,39,1,1.0,690
鹹,39,4,0.95,722
灌,39,20,0.95,675
驗,39,3,0.95,725
恰,39,7,1.0,706
娘,38,11,0.95,619
扯,38,8,0.8,672
罐,38,2,0.9,679
扣,38,18,0.8,629
逝,38,5,0.85,803
爐,38,3,1.0,667
莖,38,6,0.8,740
鵝,38,4,0.9,741
蝦,37,2,0.95,784
偶,37,7,0.9,714
嬸,37,0,0.85,719
菸,37,3,0.9,677
貂,37,0,0.9,871
澳,37,7,0.95,672
贈,37,1,0.9,809
抄,37,10,1.0,728
仿,36,4,0.85,725
窩,36,12,0.95,699
語,36,8,0.9,728
陷,36,6,0.9,731
獅,35,3,0.9,746
裹,35,0,0.7,792
婦,35,3,0.95,702
嘍,35,0,0.85,841
擊,35,12,0.9,697
觸,35,5,0.9,804
鍾,35,1,1.0,704
仰,35,11,0.95,730
審,35,0,0.85,730
託,35,2,1.0,660
僧,34,2,0.35,909
吻,34,3,0.85,588
盆,34,3,1.0,696
燙,34,11,0.9,604
迷,34,5,0.9,701
窯,34,4,0.75,751
旺,34,5,0.8,634
緩,34,6,0.9,736
哉,34,3,0.9,726
嚷,34,2,0.9,829
膽,33,4,0.75,815
揚,33,12,0.8,654
棋,33,8,0.9,703
陡,33,1,0.85,849
潮,33,7,0.9,726
熬,33,2,0.9,649
鉛,33,0,0.95,737
晴,33,2,0.85,780
譯,33,1,0.75,761
狠,33,8,0.85,615
剝,33,5,0.95,786
魔,32,7,0.85,629
邱,32,1,0.8,657
錄,32,6,0.85,687
墳,32,2,0.9,818
震,32,9,1.0,716
雕,32,6,1.0,657
盒,32,3,0.85,578
賤,32,3,0.85,770
帽,31,2,0.8,643
廖,31,1,0.9,818
瞞,31,1,0.95,735
歇,31,2,0.9,810
驚,31,5,0.85,700
逗,31,8,0.85,713
銷,31,5,0.95,788
躍,31,6,0.45,743
狂,31,3,0.85,601
勤,31,2,0.85,741
馮,30,1,0.9,752
澆,30,2,0.8,795
栽,30,10,0.8,759
織,30,4,1.0,754
枯,30,10,0.8,717
啟,30,16,0.85,679
揉,29,3,1.0,683
宰,29,7,0.95,699
沖,29,12,0.9,693
坡,29,2,0.65,757
壁,29,6,0.95,698
砰,29,2,0.55,878
夥,29,0,0.8,706
攤,29,13,0.95,626
狐,29,2,0.9,692
梨,29,0,0.95,666
糞,29,4,0.75,806
襯,28,4,1.0,735
釘,28,5,0.9,693
溝,28,4,0.9,658
酷,28,5,0.95,672
坑,28,6,0.85,748
饒,28,5,0.95,697
賴,28,6,0.85,685
議,28,3,0.85,643
煎,27,6,0.9,666
扔,27,2,0.85,700
唸,27,5,0.75,633
鼓,27,9,0.95,750
粉,27,11,0.85,664
拳,27,5,0.9,666
覓,27,2,0.8,711
懶,27,2,0.75,768
盲,26,9,0.9,667
嘗,26,5,0.95,661
釉,26,0,0.9,864
稀,26,7,0.75,719
溜,26,11,0.9,740
筍,26,4,0.95,843
慌,26,2,0.95,738
腫,26,2,0.95,768
遮,26,5,0.95,712
營,26,9,0.8,640
瘤,26,0,0.75,673
渴,25,3,0.9,672
拾,25,3,1.0,801
廢,25,9,0.9,676
礦,25,4,0.9,691
豎,25,0,0.9,768
扮,25,4,0.8,695
浮,25,4,0.95,668
符,25,10,1.0,804
蟬,24,0,0.95,721
醫,24,12,0.65,628
瘋,24,4,0.95,686
魏,24,5,0.9,757
墊,24,6,0.9,793
辯,24,2,0.9,703
固,24,7,0.9,670
掘,24,5,0.8,789
押,24,6,0.9,728
燉,24,0,0.85,800
殘,24,9,0.9,711
健,24,4,0.95,733
階,24,8,0.95,794
驢,24,2,0.7,702
砲,24,10,0.95,689
施,24,12,0.9,747
痴,24,0,1.0,765
洪,23,1,0.8,676
倘,23,1,0.65,805
祂,23,1,0.45,906
攔,23,4,1.0,701
撈,23,5,0.95,699
欄,23,7,1.0,650
繪,23,1,0.95,686
眨,23,2,0.7,777
摟,22,1,0.8,747
映,22,5,0.75,800
察,22,3,0.9,655
錫,22,3,0.75,781
翻,22,18,0.9,742
鎘,22,1,0.8,780
眩,22,0,0.95,808
啼,21,1,0.45,783
標,21,11,0.9,738
鈴,21,6,1.0,652
控,21,4,0.95,680
鄰,21,8,0.95,651
詳,21,5,0.9,713
脹,21,8,0.9,790
拎,21,1,0.9,822
砂,21,1,0.85,696
胎,21,7,0.95,649
耕,21,7,0.85,694
缸,21,5,0.95,754
醋,21,0,0.85,698
鶴,21,0,0.6,823
惜,20,3,0.75,722
釣,20,5,0.95,763
疏,20,15,0.75,711
愣,20,4,0.9,784
氧,20,0,1.0,721
咕,20,0,0.9,740
蛹,20,1,0.95,784
評,20,4,0.95,667
遞,20,3,0.85,702
誘,20,2,0.7,710
揀,20,2,0.7,885
刪,19,1,0.9,690
懼,19,2,0.85,780
潑,19,4,0.85,665
授,19,2,0.95,661
吟,19,4,0.9,730
鴿,19,0,0.65,723
獵,19,6,0.8,698
撰,19,2,0.85,764
俗,19,5,0.95,735
抖,19,4,0.95,707
刮,19,6,1.0,697
拍,18,27,0.9,625
藤,18,4,0.9,640
貶,18,4,0.8,732
搓,18,3,0.95,796
傅,18,1,0.8,785
溫,18,8,0.8,688
熄,18,7,0.85,797
裂,18,5,0.95,659
揍,18,1,0.95,693
賽,17,10,0.95,692
絞,17,0,0.95,743
鋁,17,4,0.9,689
崖,17,2,0.6,794
鋅,17,0,0.75,872
忌,17,2,0.8,730
融,17,6,0.95,622
欺,17,2,0.95,744
恩,17,6,0.9,693
梳,17,3,0.95,786
鑲,17,0,0.7,852
潘,17,1,0.85,716
碟,17,0,0.85,677
搜,17,0,0.95,836
瞄,17,0,0.95,774
袋,17,6,0.9,655
劑,17,4,0.85,796
脆,17,4,0.85,752
瞇,17,0,0.8,679
洲,17,2,0.95,650
豹,17,3,0.95,685
昏,17,6,0.9,668
燃,17,6,0.85,758
唔,16,0,0.85,809
撤,16,5,1.0,757
喉,16,0,0.9,750
釋,16,13,0.95,819
碑,16,3,0.95,832
絃,16,0,0.1,916
嬌,16,5,0.85,744
秤,16,2,0.75,783
侵,16,6,0.85,674
芽,16,2,1.0,719
羞,16,5,0.95,751
債,16,3,1.0,755
訓,16,5,0.85,772
醃,16,0,0.9,776
頒,16,2,0.95,741
霜,16,5,1.0,701
蒸,16,7,0.95,628
蔥,16,3,0.95,628
雅,15,7,1.0,657
搏,15,4,0.9,791
蠟,15,3,0.8,662
濫,15,0,0.85,666
稠,15,0,1.0,786
咳,15,3,0.85,768
蹺,15,7,0.65,877
溶,15,3,0.9,668
拄,15,0,0.8,1080
箇,15,0,0.2,835
拌,15,1,1.0,650
瘡,15,0,0.6,869
掌,15,11,0.95,726
蜜,15,0,0.85,600
柯,14,4,0.95,722
憶,14,2,0.8,706
幀,14,0,0.85,791
俏,14,4,0.85,806
納,14,9,0.9,646
痰,14,0,0.8,699
灘,14,4,0.85,692
棉,14,3,0.9,660
紋,14,2,0.85,695
損,14,1,0.95,737
鍋,14,3,0.9,720
狹,14,3,0.9,839
屎,14,6,1.0,790
汪,14,6,0.9,655
遙,14,3,0.9,642
翁,14,1,0.8,753
戳,14,4,0.8,774
饗,13,0,0.85,752
腮,13,0,0.9,828
峰,13,4,0.8,695
蟹,13,2,0.95,789
注,13,11,0.85,656
顏,13,8,1.0,634
糊,13,0,0.95,764
咻,13,0,0.8,777
皺,13,3,0.85,729
淌,13,0,0.8,787
腸,13,4,1.0,750
瞎,13,5,0.95,741
煉,13,0,0.8,729
劫,13,3,0.95,701
罩,12,0,0.85,638
淹,12,0,0.95,774
餌,12,0,0.75,736
虹,12,0,0.85,789
蹦,12,4,0.95,797
撫,12,9,0.85,769
瞥,12,0,0.7,712
掏,12,0,1.0,677
劈,12,7,1.0,657
粘,12,11,0.6,721
超,12,7,0.85,668
喚,12,8,0.9,635
鎚,12,3,0.9,788
碘,12,0,0.75,724
繡,12,5,0.9,750
飼,11,2,0.9,821
博,11,8,0.55,684
蛙,11,4,0.9,712
氮,11,1,0.8,826
扳,11,4,0.95,724
倦,11,3,0.9,773
竿,11,5,0.95,707
鑼,11,0,0.95,650
誇,11,2,0.95,620
挽,11,0,0.75,720
證,11,5,0.7,723
叮,11,3,0.95,644
潭,11,5,0.95,670
董,11,1,0.9,689
疤,11,3,0.9,650
湧,11,4,0.95,665
鎊,11,0,0.65,819
邪,11,0,0.95,709
舒,11,8,1.0,731
崇,10,4,0.8,662
橙,10,0,0.8,696
冤,10,3,0.95,747
噯,10,3,0.95,850
崩,10,4,0.85,726
罕,10,0,0.85,768
刊,10,5,0.85,683
瓣,10,0,0.8,952
枉,10,0,0.85,735
鹼,10,0,0.9,833
屁,10,6,0.95,624
鄒,10,4,0.8,828
倚,10,4,0.85,847
鈍,10,2,0.95,830
腥,10,0,0.9,735
搥,10,3,0.95,728
閱,10,3,0.95,653
賬,10,6,0.85,804
遜,10,4,0.85,711
咚,10,1,0.8,761
捆,10,0,1.0,703
縷,9,0,0.5,977
騷,9,6,0.9,756
攬,9,3,1.0,660
綴,9,5,0.45,938
紗,9,4,0.85,758
籌,9,5,0.85,710
撕,9,2,0.9,749
搔,9,1,0.95,786
鑄,9,0,0.5,971
葷,9,4,0.85,861
簫,9,0,1.0,754
援,9,4,0.85,695
楓,9,1,0.9,671
扒,9,16,0.9,672
濁,9,0,0.9,697
寓,9,4,0.85,740
諒,9,0,0.8,666
蹄,9,0,0.55,755
薰,9,0,1.0,747
弧,9,0,0.85,678
估,9,3,0.95,638
併,9,0,0.7,841
拂,9,0,0.8,813
激,8,13,0.8,743
踹,8,0,0.95,836
睏,8,2,0.95,729
鈾,8,1,0.95,791
蠢,8,6,0.95,757
鍍,8,0,0.9,705
俺,8,2,0.45,942
聾,8,2,0.95,741
頰,8,0,0.85,765
揪,8,0,0.7,773
姚,8,1,1.0,846
妃,8,3,0.85,806
噗,8,0,1.0,669
販,8,0,0.9,754
襲,8,0,0.75,694
爆,8,14,0.95,675
撮,8,0,0.9,840
寵,8,4,0.9,759
逞,8,0,0.85,718
磷,8,1,0.95,801
氫,7,0,0.9,838
嘶,7,0,0.95,752
垮,7,5,1.0,813
鉀,7,2,0.9,761
贖,7,0,0.6,869
蛾,7,0,0.95,653
啜,7,0,0.7,839
辜,7,4,0.9,736
味,7,7,0.75,644
噙,7,0,0.7,805
揭,7,8,0.85,748
仟,7,1,1.0,735
鎗,7,10,0.6,703
邵,7,1,0.8,951
拭,7,1,0.9,753
嗑,7,0,0.95,854
俯,7,2,0.8,766
鈉,7,0,0.75,757
壘,7,0,0.95,644
烘,7,2,0.9,798
簡,7,7,0.9,684
鈷,7,1,0.85,801
憋,7,5,0.85,739
貸,6,3,0.8,705
嫖,6,0,0.85,693
籽,6,0,0.75,841
拈,6,0,0.6,798
鉻,6,0,0.3,853
啄,6,6,0.85,773
咒,6,3,1.0,727
摳,6,7,0.9,748
踱,6,2,0.6,853
螺,6,0,1.0,671
胚,6,0,0.9,671
敘,6,7,0.95,787
醣,6,0,0.9,624
叭,6,6,0.75,722
淨,6,7,0.85,696
颼,6,4,0.9,827
捂,6,0,0.95,852
刨,6,4,0.5,907
餡,6,2,0.9,889
稜,6,0,0.4,773
奸,6,4,0.95,737
捶,6,2,0.9,809
攏,6,14,0.9,825
椿,6,0,0.25,975
薑,6,0,0.9,834
甕,6,0,0.7,774
燻,6,0,1.0,814
郡,6,0,0.9,784
龐,6,3,0.95,680
筒,6,0,0.95,767
傲,5,3,0.9,762
硫,5,0,0.85,821
痠,5,1,0.85,820
蟻,5,0,0.85,721
紫,5,9,0.8,645
絹,5,0,1.0,784
拴,5,0,0.6,918
惑,5,2,0.95,727
閻,5,1,0.8,948
鋰,5,0,0.9,695
磁,5,0,0.8,720
簍,5,0,0.75,848
篙,5,0,0.5,915
籃,5,5,0.85,698
跛,5,0,0.75,921
孵,5,0,1.0,780
挪,5,8,1.0,812
脣,5,1,0.8,765
剁,5,3,0.8,736
媳,5,2,0.85,741
膠,5,7,0.75,866
摺,5,6,0.9,758
揩,5,0,0.45,810
柏,5,2,0.85,727
釀,5,0,0.7,823
扼,5,0,0.95,722
鞍,5,0,0.9,728
脾,5,0,0.9,744
槽,5,0,0.7,788
詐,5,0,0.7,760
呸,5,1,0.95,709
斃,5,3,0.9,667
鯨,5,0,0.9,660
拙,4,6,0.95,856
捻,4,0,0.75,755
妞,4,1,0.9,711
硯,4,0,0.6,850
描,4,4,0.85,799
嘯,4,0,0.85,848
粟,4,0,0.25,705
茵,4,0,0.9,688
獐,4,0,0.9,754
銬,4,0,0.85,837
黔,4,0,0.45,1024
捱,4,0,0.4,863
舵,4,0,0.55,810
剃,4,1,0.95,720
晾,4,0,0.9,737
蹭,4,0,0.2,885
惱,4,0,0.9,602
紡,4,3,0.85,833
饞,4,0,0.95,751
坯,4,3,0.15,782
浙,4,3,0.7,896
憨,4,0,0.85,698
佩,4,4,0.95,715
盅,4,3,0.7,815
匾,4,0,0.9,834
腺,4,0,0.8,823
